timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1663313390841,1171,Authorize 1,200,OK,setUp Thread Group 1-1,text,true,,1950,427,1,1,https://login-staging.sproutabout.com/oauth2/default/v1/token,1171,0,845
1663313392014,23,JSR223 Sampler,200,OK,setUp Thread Group 1-1,text,true,,0,0,1,1,null,0,0,0
1663313392123,1324,GraphQL - Get User Info - HTTP Request,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-1",text,true,,86244,1465,7,7,https://staging.sproutabout.com/service/graphql,875,0,139
1663313392323,1190,GraphQL - Get User Info - HTTP Request,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-2",text,true,,86244,1465,7,7,https://staging.sproutabout.com/service/graphql,749,0,166
1663313392523,1128,GraphQL - Get User Info - HTTP Request,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-3",text,true,,86244,1465,8,8,https://staging.sproutabout.com/service/graphql,669,0,93
1663313393515,274,GraphQL - List Staff Class - HTTP Request,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-2",text,true,,2816,1512,9,9,https://staging.sproutabout.com/service/graphql,272,0,0
1663313393449,344,GraphQL - List Staff Class - HTTP Request,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-1",text,true,,2834,1512,9,9,https://staging.sproutabout.com/service/graphql,344,0,0
1663313393652,285,GraphQL - List Staff Class - HTTP Request,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-3",text,true,,2836,1512,10,10,https://staging.sproutabout.com/service/graphql,285,0,0
1663313392721,1247,GraphQL - Get User Info - HTTP Request,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-4",text,true,,86244,1465,10,10,https://staging.sproutabout.com/service/graphql,802,0,81
1663313392919,1135,GraphQL - Get User Info - HTTP Request,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-5",text,true,,86244,1465,10,10,https://staging.sproutabout.com/service/graphql,684,0,80
1663313393806,581,GraphQL - Check In Staff,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-1",text,true,,1352,1701,10,10,https://staging.sproutabout.com/service/graphql,581,0,0
1663313393806,582,GraphQL - Check In Staff,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-2",text,true,,1352,1701,10,10,https://staging.sproutabout.com/service/graphql,582,0,0
1663313393970,417,GraphQL - List Staff Class - HTTP Request,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-4",text,true,,3166,1512,10,10,https://staging.sproutabout.com/service/graphql,415,0,0
1663313394055,333,GraphQL - List Staff Class - HTTP Request,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-5",text,true,,3163,1512,10,10,https://staging.sproutabout.com/service/graphql,333,0,0
1663313393122,1370,GraphQL - Get User Info - HTTP Request,200,OK,"Thread Group - getUserInfo, List Staff Class, Check Ins, Create Posts, teacherFeed, readNotes,Check Outs - 10% 1-6",text,true,,86244,1465,10,10,https://staging.sproutabout.com/service/graphql,920,0,170
